FIPS,"Life expectancy, 2014",PlaceName
06017,81.06,El Dorado County | CA
06019,78.76,Fresno County | CA
06021,78.29,Glenn County | CA
06023,77.21,Humboldt County | CA
06025,80.42,Imperial County | CA
06027,78.83,Inyo County | CA
06029,77.26,Kern County | CA
06031,79.21,Kings County | CA
06033,75.8,Lake County | CA
06035,78.94,Lassen County | CA
06037,81.36,Los Angeles County | CA
06039,79.35,Madera County | CA
06041,83.8,Marin County | CA
06043,80.1,Mariposa County | CA
06045,78.54,Mendocino County | CA
06047,78.92,Merced County | CA
06049,77.5,Modoc County | CA
06051,82.96,Mono County | CA
06053,81.85,Monterey County | CA
06055,80.49,Napa County | CA
06057,81.3,Nevada County | CA
06059,82.27,Orange County | CA
06061,81.46,Placer County | CA
06063,78.33,Plumas County | CA
06065,80.21,Riverside County | CA
06067,79.12,Sacramento County | CA
06069,81.77,San Benito County | CA
06071,78.65,San Bernardino County | CA
06073,81.43,San Diego County | CA
06075,81.97,San Francisco County | CA
06077,78.1,San Joaquin County | CA
06079,81.37,San Luis Obispo County | CA
06081,83.11,San Mateo County | CA
06083,81.65,Santa Barbara County | CA
06085,83.14,Santa Clara County | CA
06087,81.37,Santa Cruz County | CA
06089,76.68,Shasta County | CA
06091,79.01,Sierra County | CA
06093,77.66,Siskiyou County | CA
06095,79.65,Solano County | CA
06097,81.09,Sonoma County | CA
06099,78.25,Stanislaus County | CA
06101,78.99,Sutter County | CA
06103,77.74,Tehama County | CA
06105,77.28,Trinity County | CA
06107,78.3,Tulare County | CA
06109,79.28,Tuolumne County | CA
06111,81.71,Ventura County | CA
06113,80.55,Yolo County | CA
06115,76.12,Yuba County | CA
08001,80.02,Adams County | CO
08003,77.43,Alamosa County | CO
08005,80.02,Arapahoe County | CO
08007,82.08,Archuleta County | CO
08009,77.95,Baca County | CO
08011,76.78,Bent County | CO
08013,80.02,Boulder County | CO
08014,80.02,Broomfield County | CO
08015,81.22,Chaffee County | CO
08017,79.56,Cheyenne County | CO
08019,81.63,Clear Creek County | CO
08021,78.11,Conejos County | CO
08023,77.72,Costilla County | CO
08025,77.94,Crowley County | CO
08027,81.46,Custer County | CO
08029,78.85,Delta County | CO
08031,80.02,Denver County | CO
08033,79.5,Dolores County | CO
08035,83.72,Douglas County | CO
08037,85.94,Eagle County | CO
08041,79.83,El Paso County | CO
08039,81.68,Elbert County | CO
08043,77.86,Fremont County | CO
08045,80.61,Garfield County | CO
08047,80.79,Gilpin County | CO
08049,82.73,Grand County | CO
08051,81.94,Gunnison County | CO
08053,83.66,Hinsdale County | CO
08055,77.41,Huerfano County | CO
08057,80.54,Jackson County | CO
08059,80.02,Jefferson County | CO
08061,78.65,Kiowa County | CO
08063,79.52,Kit Carson County | CO
08067,81.57,La Plata County | CO
08065,80.11,Lake County | CO
08069,81.72,Larimer County | CO
08071,77.65,Las Animas County | CO
08073,79.69,Lincoln County | CO
08075,79.5,Logan County | CO
08077,78.77,Mesa County | CO
08079,81.25,Mineral County | CO
08081,78.46,Moffat County | CO
08083,77.64,Montezuma County | CO
08085,79.59,Montrose County | CO
08087,79.14,Morgan County | CO
08089,76.44,Otero County | CO
08091,83.0,Ouray County | CO
08093,82.37,Park County | CO
08095,80.42,Phillips County | CO
08097,86.52,Pitkin County | CO
08099,77.69,Prowers County | CO
08101,77.5,Pueblo County | CO
08103,79.25,Rio Blanco County | CO
08105,77.71,Rio Grande County | CO
08107,82.73,Routt County | CO
08109,79.75,Saguache County | CO
08111,79.89,San Juan County | CO
08113,83.73,San Miguel County | CO
08115,78.22,Sedgwick County | CO
08117,86.83,Summit County | CO
08119,80.76,Teller County | CO
08121,80.28,Washington County | CO
08123,80.02,Weld County | CO
08125,79.43,Yuma County | CO
09001,81.8,Fairfield County | CT
09003,80.08,Hartford County | CT
09005,80.74,Litchfield County | CT
09007,81.02,Middlesex County | CT
09009,79.81,New Haven County | CT
09011,80.18,New London County | CT
09013,81.64,Tolland County | CT
09015,79.0,Windham County | CT
10001,77.54,Kent County | DE
10003,78.99,New Castle County | DE
10005,78.76,Sussex County | DE
11001,76.86,District Of Columbia | DC
12001,78.64,Alachua County | FL
12003,75.25,Baker County | FL
12005,76.52,Bay County | FL
12007,76.07,Bradford County | FL
12009,78.52,Brevard County | FL
12011,80.25,Broward County | FL
12013,75.97,Calhoun County | FL
12015,80.6,Charlotte County | FL
12017,76.73,Citrus County | FL
12019,78.18,Clay County | FL
12021,83.43,Collier County | FL
12023,75.15,Columbia County | FL
12027,79.71,Desoto County | FL
12029,74.79,Dixie County | FL
12031,76.74,Duval County | FL
12033,76.33,Escambia County | FL
12035,79.67,Flagler County | FL
12037,76.5,Franklin County | FL
12039,74.87,Gadsden County | FL
12041,76.8,Gilchrist County | FL
12043,79.75,Glades County | FL
12045,76.4,Gulf County | FL
12047,75.92,Hamilton County | FL
12049,78.51,Hardee County | FL
12051,77.29,Hendry County | FL
12053,77.6,Hernando County | FL
12055,79.07,Highlands County | FL
12057,78.55,Hillsborough County | FL
12059,74.74,Holmes County | FL
12061,79.96,Indian River County | FL
12063,76.17,Jackson County | FL
12065,76.72,Jefferson County | FL
12067,77.05,Lafayette County | FL
12069,79.03,Lake County | FL
12071,80.98,Lee County | FL
12073,79.35,Leon County | FL
12075,75.43,Levy County | FL
12077,76.13,Liberty County | FL
12079,75.35,Madison County | FL
12081,80.36,Manatee County | FL
12083,77.45,Marion County | FL
12085,81.16,Martin County | FL
12086,80.9,Miami-Dade County | FL
12087,78.85,Monroe County | FL
12089,77.83,Nassau County | FL
12091,78.38,Okaloosa County | FL
12093,76.09,Okeechobee County | FL
12095,79.86,Orange County | FL
12097,79.24,Osceola County | FL
12099,81.24,Palm Beach County | FL
12101,77.7,Pasco County | FL
12103,78.89,Pinellas County | FL
12105,77.96,Polk County | FL
12107,74.85,Putnam County | FL
12109,80.69,St. Johns County | FL
